time_ns	amplitude
0.000	0.000000
0.200	0.000000
0.400	0.000000
0.600	0.000000
0.800	0.000000
1.000	0.000000
1.200	0.000000
1.400	0.000000
1.600	0.000000
1.800	0.000000
2.000	0.000000
2.200	0.000000
2.400	0.000000
2.600	0.000000
2.800	0.000000
3.000	0.000000
3.200	0.000000
3.400	0.000000
3.600	0.000000
3.800	0.000000
4.000	0.000000
4.200	0.000000
4.400	0.000000
4.600	0.000000
4.800	0.000000
5.000	0.000000
5.200	0.000000
5.400	0.000000
5.600	0.000000
5.800	0.000000
6.000	0.000000
6.200	0.000000
6.400	0.000000
6.600	0.000000
6.800	0.000000
7.000	0.000000
7.200	0.000000
7.400	0.000000
7.600	0.000000
7.800	0.000000
8.000	0.000000
8.200	0.000000
8.400	0.000000
8.600	0.000000
8.800	0.000000
9.000	0.000000
9.200	0.000000
9.400	0.000000
9.600	0.000000
9.800	0.000000
10.000	0.000000
10.200	0.000000
10.400	0.000000
10.600	0.000000
10.800	0.000000
11.000	0.000000
11.200	0.000000
11.400	0.000000
11.600	0.000000
11.800	0.000000
12.000	0.000000
12.200	0.000000
12.400	0.000000
12.600	0.000000
12.800	0.000000
13.000	0.000000
13.200	0.000000
13.400	0.000000
13.600	0.000000
13.800	0.000000
14.000	0.000000
14.200	0.000000
14.400	0.000000
14.600	0.000000
14.800	0.000000
15.000	0.000000
15.200	0.000000
15.400	0.000000
15.600	0.000000
15.800	0.000000
16.000	0.000000
16.200	0.000000
16.400	0.000000
16.600	0.000000
16.800	0.000000
17.000	0.000000
17.200	0.000000
17.400	0.000000
17.600	0.000000
17.800	0.000000
18.000	0.000000
18.200	0.000000
18.400	0.000000
18.600	0.000000
18.800	0.000000
19.000	0.000000
19.200	0.000000
19.400	0.000000
19.600	0.000000
19.800	0.000000
20.000	0.000000
20.200	0.000000
20.400	0.000000
20.600	0.000000
20.800	0.000000
21.000	0.000000
21.200	0.000000
21.400	0.000000
21.600	0.000000
21.800	0.000000
22.000	0.000000
22.200	0.000000
22.400	0.000000
22.600	0.000000
22.800	0.000000
23.000	0.000000
23.200	0.000000
23.400	0.000000
23.600	0.000000
23.800	0.000000
24.000	0.000000
24.200	0.000000
24.400	0.000000
24.600	0.000000
24.800	0.000000
25.000	0.000000
25.200	0.000000
25.400	0.000000
25.600	0.000000
25.800	0.000000
26.000	0.000000
26.200	0.000000
26.400	0.000000
26.600	0.000000
26.800	0.000000
27.000	0.000000
27.200	0.000000
27.400	0.000000
27.600	0.000000
27.800	0.000000
28.000	0.000000
28.200	0.000000
28.400	0.000000
28.600	0.000000
28.800	0.000000
29.000	0.000000
29.200	0.000000
29.400	0.000000
29.600	0.000000
29.800	0.000000
30.000	0.000000
30.200	0.000000
30.400	0.000000
30.600	0.000000
30.800	0.000000
31.000	0.000000
31.200	0.000000
31.400	0.000000
31.600	0.000000
31.800	0.000000
32.000	0.000000
32.200	0.000000
32.400	0.000000
32.600	0.000000
32.800	0.000000
33.000	0.000000
33.200	0.000000
33.400	0.000000
33.600	0.000000
33.800	0.000000
34.000	0.000000
34.200	0.000000
34.400	0.000000
34.600	0.000000
34.800	0.000000
35.000	0.000000
35.200	0.000000
35.400	0.000000
35.600	0.000000
35.800	0.000000
36.000	0.000000
36.200	0.000000
36.400	0.000000
36.600	0.000000
36.800	0.000000
37.000	0.000000
37.200	0.000000
37.400	0.000000
37.600	0.000000
37.800	0.000000
38.000	0.000000
38.200	0.000000
38.400	0.000000
38.600	0.000000
38.800	0.000000
39.000	0.000000
39.200	0.000000
39.400	0.000000
39.600	0.000000
39.800	0.000000
40.000	0.000000
40.200	0.000000
40.400	0.000000
40.600	0.000000
40.800	0.000000
41.000	0.000000
41.200	0.000000
41.400	0.000000
41.600	0.000000
41.800	0.000000
42.000	0.000000
42.200	0.000000
42.400	0.000000
42.600	0.000000
42.800	0.000000
43.000	0.000000
43.200	0.000000
43.400	0.000000
43.600	0.000000
43.800	0.000000
44.000	0.000000
44.200	0.000000
44.400	0.000000
44.600	0.000000
44.800	0.000000
45.000	0.000000
45.200	0.000000
45.400	0.000000
45.600	0.000000
45.800	0.000000
46.000	0.000000
46.200	0.000000
46.400	0.000000
46.600	0.000000
46.800	0.000000
47.000	0.000000
47.200	0.000000
47.400	0.000000
47.600	0.000000
47.800	0.000000
48.000	0.000000
48.200	0.000000
48.400	0.000000
48.600	0.000000
48.800	0.000000
49.000	0.000000
49.200	0.000000
49.400	0.000000
49.600	0.000000
49.800	0.000000
50.000	0.000000
50.200	0.000000
50.400	0.000000
50.600	0.000000
50.800	0.000000
51.000	0.000000
51.200	0.000000
51.400	0.000000
51.600	0.000000
51.800	0.000000
52.000	0.000000
52.200	0.000000
52.400	0.000000
52.600	0.000000
52.800	0.000000
53.000	0.000000
53.200	0.000000
53.400	0.000000
53.600	0.000000
53.800	0.000000
54.000	0.000000
54.200	0.000000
54.400	0.000000
54.600	0.000000
54.800	0.000000
55.000	0.000000
55.200	0.000000
55.400	0.000000
55.600	0.000000
55.800	0.000000
